mot_latin,traduction_fr,forme_complete,genre,declinaison,derives,sg_pl_lesdeux,lesson
vulnus,la blessure,"vulnus, vulneris, n",n,3,vulnérable,,9
iter,"le chemin, le voyage","iter, itineris, n",n,3,itinéraire,,9
divitiae,les richesses,"divitiae, arum, f",f,1,,pl,10
hora,l'heure,"hora, ae, f",f,1,horaire,,10
homo,"l'homme, l'être humain","homo, hominis, m",m,3,homicide,,10
mors,la mort,"mors, mortis, f",f,3,mortuaire,,10
fames,la faim,"fames, famis, f",f,3,famélique,,10
mens,l'esprit,"mens, mentis, f",f,3,mental,,10
tempus,"le temps, l'époque","tempus, temporis, n",n,3,temporaire,,10
Roma,Rome,"Roma, ae, f",f,1,,,11
fabula,"l'histoire, la fable","fabula, ae, f",f,1,fabuliste,,11
aureus,la pièce d'or,"aureus, i, m",m,2,,,11
patronus,le patron,"patronus, i, m",m,2,,,11
vinum,le vin,"vinum, i, n",n,2,,,11
aurum,l'or,"aurum, i, n",n,2,,,11
vestimentum,le vêtement,"vestimentum, i, n",n,2,vestimentaire,,11
navis,le navire,"navis, navis, f",f,3,,,11
manus,la main,"manus, us, f",f,4,manuel,,11
domus,la maison,"domus, us, f",f,4,domaine,,11
pecunia,l'argent,"pecunia, ae, f",f,1,pécuniaire,,12
ripa,la rive,"ripa, ae, f",f,1,,,12
anima,l'âme,"anima, ae, f",f,1,animer,,12
funus,les funérailles,"funus, funeris, n",n,3,,,12
flumen,"le cours d'eau, le fleuve","flumen, fluminis, n",n,3,flux,,12
aqua,l'eau,"aqua, ae, f",f,1,aquatique,,12
puer,"l'enfant, le jeune esclave","puer, pueri, m",m,2,,,12
signum,"la statue, le signe, le signal","signum, i, n",n,2,,,12
hospes,l'hôte,"hospes, hospitis, m",m,3,hospitalité,,12
canis,le chien,"canis, canis, m",m,3,canin,,12
Venus,Vénus,"Venus, veneris, f",f,3,,,12
pes,le pied,"pes, pedis, m",m,3,pédestre,,12
limen,le seuil,"limen, liminis, n",n,3,préliminaire,,12
